CUST,PRNCPL,SLSMN
S01076,F03,R23
S11017,F03,R24
S10510,F03,R36
S10395,F03,R23
S11203,F03,R36
S08716,F03,R36
S07588,F03,R24
S10406,F03,R29
S11011,F03,R24
S11364,F03,Z14
S06303,F03,R23
S01760,F03,Z14
S11525,F03,R36
S07230,F03,R23
S10641,F03,R40
S09895,F03,R23
S08731,F03,R23
S10705,F03,R24
S06963,F03,Z14
S01546,F03,R24
S08968,F03,R29
S02985,F03,Z14
S10631,F03,R29
S10870,F03,R23
S01428,F03,R36
S11330,F03,R36
S05733,F03,R36
S05628,F03,Z14
S11246,F03,Z14
S10000,F03,R24
S10956,F03,R29
S10699,F03,R36
S10651,F03,Z14
S03324,F03,R40
S01228,F03,R24
S10999,F03,Z14
S09864,F03,R36
S08633,F03,R23
S08827,F03,R24
S07120,F03,R24
S09557,F03,R24
S00780,F03,R40
S11694,F03,R29
S10961,F03,R29
S00641,F03,Z14
S11300,F03,R40
S10994,F03,R40
S11269,F03,R40
S02231,F03,R29
S10880,F03,R23
S08645,F03,R36
S10530,F03,R23
S11139,F03,Z14
S04871,F03,R29
S00954,F03,R29
S11590,F03,R40
S10739,F03,R24
S11240,F03,R40
S01315,F03,R24
S07995,F03,R40
S06294,F03,Z14
S11327,F03,R36
S07918,F03,R36
S10718,F03,R36
S02857,F03,Z14
S11005,F03,Z14
S09137,F03,R24
S11832,F03,R40
S03715,F03,R40
S10009,F03,R36
S10975,F03,R36
S10938,F03,R40
S11970,F03,R23
S09978,F03,R23
S11274,F03,R29
S03719,F03,R40
S10954,F03,R29
S11760,F03,R36
S07477,F03,Z14
S11004,F03,Z14
S02471,F03,R29
S01697,F03,R29
S02313,F03,R29
S00522,F03,R40
S00925,F03,R29
S01266,F03,R40
S10046,F03,R23
S10672,F03,R36
S10403,F03,Z14
S06624,F03,R23
S11296,F03,R40
S09758,F03,Z14
S09966,F03,R36
S00754,F03,Z14
S07662,F03,R24
S00908,F03,R29
S09757,F03,R36
S06907,F03,R36
S10275,F03,R24
S00895,F03,R23
S05547,F03,R23
S06562,F03,R40
S11008,F03,Z14
S11092,F03,R24
S07469,F03,R23
S08892,F03,R29
S11229,F03,R24
S07247,F03,R24
S10969,F03,R36
S09982,F03,R36
S07971,F03,R40
S11331,F03,R23
S06816,F03,R24
S07915,F03,R40
S09707,F03,R23
S11174,F03,Z14
S09844,F03,Z14
S00793,F03,Z14
S04249,F03,R29
S08158,F03,R29
S11208,F03,R40
S10986,F03,R36
S11336,F03,Z14
S10426,F03,R23
S11080,F03,R24
S11901,F03,R23
S11271,F03,R40
S02722,F03,Z14
S10943,F03,R40
S11524,F03,R36
S10520,F03,Z14
S07221,F03,R40
S07475,F03,Z14
S07309,F03,R36
S03677,F03,R36
S11379,F03,R40
S09499,F03,R36
S01472,F03,Z14
S11000,F03,Z14
S07010,F03,R36
S11015,F03,R24
S11013,F03,R24
S10887,F03,R24
S11350,F03,R40
S11170,F03,R36
S09739,F03,R23
